unix timestamp,position x,position y,position z,rotation x,rotation y,rotation z,rotation w
1682334201,0.6432933,1.585391,1.329498,-0.07891904,0.7003607,-0.1540405,-0.6924872
1682334202,0.2183305,1.58382,1.423112,-0.08497714,0.7008416,-0.1421581,-0.6938236
1682334203,-0.3238236,1.622751,1.310127,0.4759527,-0.7398152,-0.4107699,-0.2396053
1682334204,-0.769316,1.573306,1.363707,-0.05172948,0.7292422,-0.1047109,-0.6742148
1682334205,-1.261051,1.573406,1.223916,-0.07604626,0.8497092,-0.1106721,-0.5098658
1682334206,-1.606498,1.570958,0.9927835,0.1361945,-0.9900218,0.03508356,-0.008787215
1682334207,-1.521322,1.580932,0.6019481,0.1293232,-0.9852689,0.02379625,-0.1093372
1682334208,-1.60653,1.596942,0.1813619,0.05727447,-0.9912577,0.04592396,-0.1096317
1682334209,-1.458524,1.595821,-0.30202,0.09507002,-0.988088,0.03464934,-0.1159456
1682334210,-1.490364,1.609253,-0.7523551,0.08913432,-0.9697464,0.02055467,-0.2263289
1682334211,-1.163903,1.613104,-1.015425,0.08432217,-0.7783095,-0.04206488,-0.6207695
1682334212,-0.7458908,1.61607,-1.156088,0.08990452,-0.6755099,-0.04686296,-0.7303476
1682334213,-0.2941788,1.623946,-1.082266,0.09461133,-0.6928002,-0.02783109,-0.7143544
1682334214,0.2061066,1.631489,-1.179302,0.08527743,-0.6539047,-0.04427592,-0.7504506
1682334215,0.7121493,1.629847,-1.042172,0.08880883,-0.5764564,-0.04911791,-0.8108011
1682334216,1.136647,1.629047,-0.8623564,0.01333738,-0.07746941,-0.1334422,-0.9879342
1682334217,1.098471,1.627351,-0.4140762,0.04462752,0.02262774,-0.1444503,-0.9882462
1682334218,1.221714,1.618496,0.07342088,0.04469733,0.06711483,-0.1440872,-0.9862741
1682334219,1.138535,1.615021,0.5925664,0.02929157,0.08965969,-0.09850489,-0.9906564
1682334220,1.016846,1.59537,1.114513,-0.0687729,0.5619283,-0.125008,-0.8147883
1682334221,0.465356,1.588951,1.105454,-0.06936325,0.7290184,-0.1351436,-0.6674259
1682334222,-0.1976977,1.618188,1.177772,0.4285949,-0.7132559,-0.472977,-0.2895952
1682334223,-0.8502107,1.601102,1.097405,0.3602276,-0.6735479,-0.5127727,-0.3919613
1682334224,-1.269625,1.559896,0.8777353,0.1372098,-0.9693191,0.01783089,0.2031656
1682334225,-1.487186,1.571181,0.4495584,0.1299255,-0.9713338,0.002403744,-0.1990588
1682334226,-1.350891,1.583378,0.05830216,0.1137351,-0.829722,-0.05121403,-0.5440616
1682334227,-0.9045979,1.586061,-0.1498473,0.105909,-0.6766941,-0.07441334,-0.7247974
1682334228,-0.3764806,1.592684,-0.119898,0.1349252,-0.6755611,-0.0858986,-0.7197457
1682334229,0.187706,1.601656,-0.07270215,0.1355242,-0.6705925,-0.04480852,-0.7279638
1682334230,0.5751076,1.612987,-0.02772397,0.106485,-0.7198645,-0.02514315,-0.6854371
